,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaitangata,54,NZ,1569565545,62,-46.28,169.85,284.82,4.92
1,mokshan,97,RU,1569565720,69,53.44,44.61,280.93,2.63
2,kalabo,0,ZM,1569565721,37,-15.0,22.67,291.292,5.93
3,hervey bay,4,AU,1569565156,50,-25.3,152.85,298.15,6.2
4,albany,1,US,1569565513,87,42.65,-73.75,284.82,2.38
5,mataura,43,NZ,1569565721,83,-46.19,168.86,283.71,7.6
6,maputo,20,MZ,1569565722,56,-25.97,32.57,293.15,3.6
7,castro,0,CL,1569565548,87,-42.48,-73.76,281.15,2.6
8,linares,100,CL,1569565722,82,-35.85,-71.6,286.592,0.97
9,vestmannaeyjar,100,IS,1569565722,91,63.44,-20.27,283.102,1.98
10,charters towers,0,AU,1569565656,29,-20.07,146.27,303.422,5.94
11,hobyo,34,SO,1569565153,52,5.35,48.53,303.142,8.4
12,ushuaia,75,AR,1569565450,75,-54.81,-68.31,279.15,4.6
13,cape town,0,ZA,1569565124,93,-33.93,18.42,294.26,1.5
14,banda aceh,72,ID,1569565627,69,5.56,95.32,301.542,1.98
15,srivardhan,100,IN,1569565724,84,18.03,73.02,300.332,7.55
16,kununurra,40,AU,1569565724,25,-15.77,128.74,310.15,2.1
17,new norfolk,75,AU,1569565525,81,-42.78,147.06,284.26,9.3
18,chokurdakh,79,RU,1569565521,72,70.62,147.9,272.272,5.01
19,hilo,1,US,1569565725,69,19.71,-155.08,301.15,2.1
20,tautira,40,PF,1569565576,78,-17.73,-149.15,299.15,1.0
21,tuktoyaktuk,75,CA,1569565126,93,69.44,-133.03,275.15,8.7
22,dikson,84,RU,1569565186,86,73.51,80.55,274.142,5.83
23,nome,1,US,1569565649,94,30.04,-94.42,298.15,1.93
24,punta arenas,0,CL,1569565726,52,-53.16,-70.91,280.15,8.7
25,lahij,93,YE,1569565726,71,13.06,44.88,302.582,5.37
26,qaanaaq,100,GL,1569565530,97,77.48,-69.36,273.122,8.04
27,natal,40,BR,1569565646,94,-5.81,-35.21,296.15,2.1
28,puerto ayacucho,81,CO,1569565727,78,5.66,-67.63,298.792,2.42
29,atuona,8,PF,1569565541,74,-9.8,-139.03,299.502,7.26
30,merauke,0,ID,1569565727,84,-8.49,140.4,298.882,10.95
31,mudanjiang,0,CN,1569565728,47,44.58,129.6,298.352,1.84
32,saskylakh,100,RU,1569565530,85,71.97,114.09,274.272,3.89
33,katsuura,75,JP,1569565728,78,33.93,134.5,301.48,5.7
34,diu,100,IN,1569565717,88,20.71,70.98,299.772,4.12
35,port blair,72,IN,1569565625,72,11.67,92.75,302.022,2.64
36,hamilton,5,CA,1569565527,87,43.26,-79.87,286.15,1.0
37,yellowknife,75,CA,1569565108,80,62.45,-114.38,274.15,3.1
38,vila velha,20,BR,1569565669,74,-3.71,-38.6,299.15,7.2
39,port-gentil,75,GA,1569565151,94,-0.72,8.78,298.15,3.1
40,baie-comeau,90,CA,1569565730,100,49.22,-68.15,281.15,7.7
41,berberati,74,CF,1569565730,94,4.26,15.79,294.15,0.82
42,rikitea,20,PF,1569565730,73,-23.12,-134.97,295.312,4.95
43,airai,0,TL,1569565535,50,-8.93,125.41,302.152,2.41
44,husavik,100,CA,1569565564,97,50.56,-96.99,279.82,5.35
45,kapaa,90,US,1569565598,83,22.08,-159.32,301.15,2.1
46,saldanha,23,PT,1569565553,83,41.42,-6.55,284.802,0.89
47,vao,44,EE,1569565661,88,59.1,26.19,280.742,2.31
48,uberlandia,40,BR,1569565563,93,-18.92,-48.28,290.15,2.6
49,russell,90,US,1569565732,94,38.9,-98.86,295.15,6.7
50,ketchikan,20,US,1569565732,93,55.34,-131.65,282.15,3.89
51,hobart,75,AU,1569565534,81,-42.88,147.33,284.26,9.3
52,puerto ayora,23,EC,1569565733,88,-0.74,-90.35,293.15,0.45
53,jamestown,0,AU,1569565733,54,-33.21,138.6,292.702,6.56
54,cherskiy,15,RU,1569565578,56,68.75,161.3,273.732,3.38
55,ballina,75,IE,1569565230,93,54.11,-9.15,287.04,1.5
56,makakilo city,90,US,1569565573,94,21.35,-158.09,301.15,0.49
57,seoul,100,KR,1569565710,57,37.57,126.98,300.15,1.0
58,kasongo-lunda,71,CD,1569565163,94,-6.48,16.82,293.982,0.79
59,san cristobal,99,HN,1569565207,98,14.68,-86.92,293.192,2.27
60,praya,75,ID,1569565735,62,-8.71,116.27,303.15,7.2
61,hirara,75,JP,1569565148,79,24.8,125.28,303.15,6.7
62,georgetown,40,GY,1569565735,100,6.8,-58.16,297.15,2.73
